monsterId,monster,slug,spellId,spell,spellAuditStatus,status,issues
"srd-5.1:archmage","大法师","archmage","disguise-self","易容术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:archmage","大法师","archmage","invisibility","隐形术","verified-full","verified-full",""
"srd-5.1:archmage","大法师","archmage","fire-bolt","火焰箭","verified-full","verified-full",""
"srd-5.1:archmage","大法师","archmage","light","光亮术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:archmage","大法师","archmage","mage-hand","法师之手","verified-full","semantic-gap","该持续区域尚未进入怪物核心法术事务白名单"
"srd-5.1:archmage","大法师","archmage","prestidigitation","魔法伎俩","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:archmage","大法师","archmage","shocking-grasp","电爪","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:archmage","大法师","archmage","detect-magic","侦测魔法","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:archmage","大法师","archmage","identify","鉴定术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:archmage","大法师","archmage","mage-armor","法师护甲","verified-full","verified-full",""
"srd-5.1:archmage","大法师","archmage","magic-missile","魔法飞弹","verified-full","verified-full",""
"srd-5.1:archmage","大法师","archmage","detect-thoughts","侦测思想","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:archmage","大法师","archmage","mirror-image","镜影术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:archmage","大法师","archmage","misty-step","迷踪步","verified-full","verified-full",""
"srd-5.1:archmage","大法师","archmage","counterspell","法术反制","verified-full","semantic-gap","效果类型 counterspell 尚未进入怪物核心施法白名单"
"srd-5.1:archmage","大法师","archmage","fly","飞行术","verified-full","verified-full",""
"srd-5.1:archmage","大法师","archmage","lightning-bolt","闪电束","verified-full","verified-full",""
"srd-5.1:archmage","大法师","archmage","banishment","放逐术","verified-full","verified-full",""
"srd-5.1:archmage","大法师","archmage","fire-shield","火焰护盾","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:archmage","大法师","archmage","stoneskin","石肤术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:archmage","大法师","archmage","cone-of-cold","寒冰锥","verified-full","verified-full",""
"srd-5.1:archmage","大法师","archmage","scrying","探知","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:archmage","大法师","archmage","wall-of-force","力场墙","verified-full","verified-full",""
"srd-5.1:archmage","大法师","archmage","globe-of-invulnerability","法术无效结界","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:archmage","大法师","archmage","teleport","传送术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:archmage","大法师","archmage","mind-blank","心灵屏障","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:archmage","大法师","archmage","time-stop","时间停止","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:cloud-giant","云巨人","cloud-giant","detect-magic","侦测魔法","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:cloud-giant","云巨人","cloud-giant","fog-cloud","云雾术","verified-full","verified-full",""
"srd-5.1:cloud-giant","云巨人","cloud-giant","light","光亮术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:cloud-giant","云巨人","cloud-giant","feather-fall","羽落术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:cloud-giant","云巨人","cloud-giant","fly","飞行术","verified-full","verified-full",""
"srd-5.1:cloud-giant","云巨人","cloud-giant","misty-step","迷踪步","verified-full","verified-full",""
"srd-5.1:cloud-giant","云巨人","cloud-giant","telekinesis","心灵遥控","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:cloud-giant","云巨人","cloud-giant","control-weather","操控天气","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:cloud-giant","云巨人","cloud-giant","gaseous-form","气化形体","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:couatl","羽蛇","couatl","detect-evil-and-good","侦测善恶","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:couatl","羽蛇","couatl","detect-magic","侦测魔法","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:couatl","羽蛇","couatl","detect-thoughts","侦测思想","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:couatl","羽蛇","couatl","bless","祝福术","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:couatl","羽蛇","couatl","create-food-and-water","造粮术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:couatl","羽蛇","couatl","cure-wounds","疗伤术","verified-full","verified-full",""
"srd-5.1:couatl","羽蛇","couatl","lesser-restoration","次级复原术","verified-full","verified-full",""
"srd-5.1:couatl","羽蛇","couatl","protection-from-poison","防护毒素","verified-full","verified-full",""
"srd-5.1:couatl","羽蛇","couatl","sanctuary","庇护术","verified-full","verified-full",""
"srd-5.1:couatl","羽蛇","couatl","shield","护盾术","verified-full","semantic-gap","效果类型 armor-class-buff 尚未进入怪物核心施法白名单"
"srd-5.1:couatl","羽蛇","couatl","dream","托梦术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:couatl","羽蛇","couatl","greater-restoration","高等复原术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:couatl","羽蛇","couatl","scrying","探知","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:cult-fanatic","邪教狂信徒","cult-fanatic","light","光亮术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:cult-fanatic","邪教狂信徒","cult-fanatic","sacred-flame","圣火术","verified-full","verified-full",""
"srd-5.1:cult-fanatic","邪教狂信徒","cult-fanatic","thaumaturgy","奇术","verified-full","semantic-gap","效果类型 narrative-effect 尚未进入怪物核心施法白名单"
"srd-5.1:cult-fanatic","邪教狂信徒","cult-fanatic","command","命令术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:cult-fanatic","邪教狂信徒","cult-fanatic","inflict-wounds","致伤术","verified-full","verified-full",""
"srd-5.1:cult-fanatic","邪教狂信徒","cult-fanatic","shield-of-faith","虔诚护盾","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:cult-fanatic","邪教狂信徒","cult-fanatic","hold-person","人类定身术","verified-full","verified-full",""
"srd-5.1:cult-fanatic","邪教狂信徒","cult-fanatic","spiritual-weapon","灵体武器","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:deep-gnome-svirfneblin","地底侏儒（斯涅布力）","deep-gnome-svirfneblin","nondetection","回避侦测","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:deep-gnome-svirfneblin","地底侏儒（斯涅布力）","deep-gnome-svirfneblin","blindness-deafness","目盲/耳聋术","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:deep-gnome-svirfneblin","地底侏儒（斯涅布力）","deep-gnome-svirfneblin","blur","朦胧术","verified-full","verified-full",""
"srd-5.1:deep-gnome-svirfneblin","地底侏儒（斯涅布力）","deep-gnome-svirfneblin","disguise-self","易容术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:deva","提婆","deva","detect-evil-and-good","侦测善恶","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:deva","提婆","deva","commune","通神术","manual","semantic-gap","继承法术结论：manual | No core Headless spell definition."
"srd-5.1:deva","提婆","deva","raise-dead","死者复活","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:djinni","气巨灵","djinni","detect-evil-and-good","侦测善恶","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:djinni","气巨灵","djinni","detect-magic","侦测魔法","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:djinni","气巨灵","djinni","thunderwave","雷鸣波","verified-full","verified-full",""
"srd-5.1:djinni","气巨灵","djinni","create-food-and-water","造粮术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:djinni","气巨灵","djinni","tongues","巧言术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:djinni","气巨灵","djinni","wind-walk","御风而行","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:djinni","气巨灵","djinni","conjure-elemental","召唤元素生物","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:djinni","气巨灵","djinni","creation","造物术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:djinni","气巨灵","djinni","gaseous-form","气化形体","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:djinni","气巨灵","djinni","invisibility","隐形术","verified-full","verified-full",""
"srd-5.1:djinni","气巨灵","djinni","major-image","高等幻影","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:djinni","气巨灵","djinni","plane-shift","异界传送","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:drider","蛛化精灵","drider","dancing-lights","舞光术","verified-full","semantic-gap","该持续区域尚未进入怪物核心法术事务白名单"
"srd-5.1:drider","蛛化精灵","drider","darkness","黑暗术","verified-full","verified-full",""
"srd-5.1:drider","蛛化精灵","drider","faerie-fire","妖火","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:drow","卓尔","drow","dancing-lights","舞光术","verified-full","semantic-gap","该持续区域尚未进入怪物核心法术事务白名单"
"srd-5.1:drow","卓尔","drow","darkness","黑暗术","verified-full","verified-full",""
"srd-5.1:drow","卓尔","drow","faerie-fire","妖火","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:druid","德鲁伊","druid","druidcraft","德鲁伊伎俩","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:druid","德鲁伊","druid","produce-flame","燃火术","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:druid","德鲁伊","druid","shillelagh","橡棍术","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:druid","德鲁伊","druid","entangle","纠缠术","verified-full","verified-full",""
"srd-5.1:druid","德鲁伊","druid","longstrider","大步奔行","verified-full","verified-full",""
"srd-5.1:druid","德鲁伊","druid","speak-with-animals","动物交谈术","manual","semantic-gap","继承法术结论：manual | No core Headless spell definition."
"srd-5.1:druid","德鲁伊","druid","thunderwave","雷鸣波","verified-full","verified-full",""
"srd-5.1:druid","德鲁伊","druid","animal-messenger","动物信使","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:druid","德鲁伊","druid","barkskin","树肤术","verified-full","verified-full",""
"srd-5.1:dryad","树精","dryad","druidcraft","德鲁伊伎俩","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:dryad","树精","dryad","entangle","纠缠术","verified-full","verified-full",""
"srd-5.1:dryad","树精","dryad","goodberry","神莓术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:dryad","树精","dryad","barkskin","树肤术","verified-full","verified-full",""
"srd-5.1:dryad","树精","dryad","pass-without-trace","行动无踪","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:dryad","树精","dryad","shillelagh","橡棍术","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:dust-mephit","尘土魔蝠","dust-mephit","sleep","睡眠术","verified-full","verified-full",""
"srd-5.1:efreeti","火巨灵","efreeti","detect-magic","侦测魔法","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:efreeti","火巨灵","efreeti","enlarge-reduce","变巨/缩小术","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:efreeti","火巨灵","efreeti","tongues","巧言术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:efreeti","火巨灵","efreeti","conjure-elemental","召唤元素生物","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:efreeti","火巨灵","efreeti","gaseous-form","气化形体","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:efreeti","火巨灵","efreeti","invisibility","隐形术","verified-full","verified-full",""
"srd-5.1:efreeti","火巨灵","efreeti","major-image","高等幻影","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:efreeti","火巨灵","efreeti","plane-shift","异界传送","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:efreeti","火巨灵","efreeti","wall-of-fire","火墙术","verified-full","verified-full",""
"srd-5.1:glabrezu","格拉兹特魔","glabrezu","darkness","黑暗术","verified-full","verified-full",""
"srd-5.1:glabrezu","格拉兹特魔","glabrezu","detect-magic","侦测魔法","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:glabrezu","格拉兹特魔","glabrezu","dispel-magic","解除魔法","verified-full","verified-full",""
"srd-5.1:glabrezu","格拉兹特魔","glabrezu","confusion","困惑术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:glabrezu","格拉兹特魔","glabrezu","fly","飞行术","verified-full","verified-full",""
"srd-5.1:glabrezu","格拉兹特魔","glabrezu","power-word-stun","律令震慑","verified-full","verified-full",""
"srd-5.1:green-hag","绿鬼婆","green-hag","dancing-lights","舞光术","verified-full","semantic-gap","该持续区域尚未进入怪物核心法术事务白名单"
"srd-5.1:green-hag","绿鬼婆","green-hag","minor-illusion","次级幻影","verified-full","semantic-gap","效果类型 narrative-effect 尚未进入怪物核心施法白名单"
"srd-5.1:green-hag","绿鬼婆","green-hag","vicious-mockery","恶言相加","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:guardian-naga","守护纳迦","guardian-naga","mending","修复术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:guardian-naga","守护纳迦","guardian-naga","sacred-flame","圣火术","verified-full","verified-full",""
"srd-5.1:guardian-naga","守护纳迦","guardian-naga","thaumaturgy","奇术","verified-full","semantic-gap","效果类型 narrative-effect 尚未进入怪物核心施法白名单"
"srd-5.1:guardian-naga","守护纳迦","guardian-naga","command","命令术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:guardian-naga","守护纳迦","guardian-naga","cure-wounds","疗伤术","verified-full","verified-full",""
"srd-5.1:guardian-naga","守护纳迦","guardian-naga","shield-of-faith","虔诚护盾","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:guardian-naga","守护纳迦","guardian-naga","calm-emotions","安定心神","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:guardian-naga","守护纳迦","guardian-naga","hold-person","人类定身术","verified-full","verified-full",""
"srd-5.1:guardian-naga","守护纳迦","guardian-naga","bestow-curse","降咒","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:guardian-naga","守护纳迦","guardian-naga","clairvoyance","鹰眼术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:guardian-naga","守护纳迦","guardian-naga","banishment","放逐术","verified-full","verified-full",""
"srd-5.1:guardian-naga","守护纳迦","guardian-naga","freedom-of-movement","行动自如","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:guardian-naga","守护纳迦","guardian-naga","flame-strike","焰击术","verified-full","semantic-gap","包含多种伤害分量"
"srd-5.1:guardian-naga","守护纳迦","guardian-naga","geas","指使术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:guardian-naga","守护纳迦","guardian-naga","true-seeing","真知术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:gynosphinx","雌性斯芬克斯","gynosphinx","mage-hand","法师之手","verified-full","semantic-gap","该持续区域尚未进入怪物核心法术事务白名单"
"srd-5.1:gynosphinx","雌性斯芬克斯","gynosphinx","minor-illusion","次级幻影","verified-full","semantic-gap","效果类型 narrative-effect 尚未进入怪物核心施法白名单"
"srd-5.1:gynosphinx","雌性斯芬克斯","gynosphinx","prestidigitation","魔法伎俩","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:gynosphinx","雌性斯芬克斯","gynosphinx","detect-magic","侦测魔法","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:gynosphinx","雌性斯芬克斯","gynosphinx","identify","鉴定术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:gynosphinx","雌性斯芬克斯","gynosphinx","shield","护盾术","verified-full","semantic-gap","效果类型 armor-class-buff 尚未进入怪物核心施法白名单"
"srd-5.1:gynosphinx","雌性斯芬克斯","gynosphinx","darkness","黑暗术","verified-full","verified-full",""
"srd-5.1:gynosphinx","雌性斯芬克斯","gynosphinx","locate-object","物件定位术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:gynosphinx","雌性斯芬克斯","gynosphinx","suggestion","暗示术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:gynosphinx","雌性斯芬克斯","gynosphinx","dispel-magic","解除魔法","verified-full","verified-full",""
"srd-5.1:gynosphinx","雌性斯芬克斯","gynosphinx","remove-curse","移除诅咒","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:gynosphinx","雌性斯芬克斯","gynosphinx","tongues","巧言术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:gynosphinx","雌性斯芬克斯","gynosphinx","banishment","放逐术","verified-full","verified-full",""
"srd-5.1:gynosphinx","雌性斯芬克斯","gynosphinx","greater-invisibility","高等隐形术","verified-full","verified-full",""
"srd-5.1:gynosphinx","雌性斯芬克斯","gynosphinx","legend-lore","通晓传奇","manual","semantic-gap","继承法术结论：manual | No core Headless spell definition."
"srd-5.1:ice-mephit","冰魔蝠","ice-mephit","fog-cloud","云雾术","verified-full","verified-full",""
"srd-5.1:lamia","拉弥亚","lamia","disguise-self","易容术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:lamia","拉弥亚","lamia","major-image","高等幻影","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:lamia","拉弥亚","lamia","charm-person","魅惑人类","verified-full","verified-full",""
"srd-5.1:lamia","拉弥亚","lamia","mirror-image","镜影术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:lamia","拉弥亚","lamia","scrying","探知","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:lamia","拉弥亚","lamia","suggestion","暗示术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:lamia","拉弥亚","lamia","geas","指使术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:lich","巫妖","lich","mage-hand","法师之手","verified-full","semantic-gap","该持续区域尚未进入怪物核心法术事务白名单"
"srd-5.1:lich","巫妖","lich","prestidigitation","魔法伎俩","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:lich","巫妖","lich","ray-of-frost","冷冻射线","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:lich","巫妖","lich","detect-magic","侦测魔法","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:lich","巫妖","lich","magic-missile","魔法飞弹","verified-full","verified-full",""
"srd-5.1:lich","巫妖","lich","shield","护盾术","verified-full","semantic-gap","效果类型 armor-class-buff 尚未进入怪物核心施法白名单"
"srd-5.1:lich","巫妖","lich","thunderwave","雷鸣波","verified-full","verified-full",""
"srd-5.1:lich","巫妖","lich","acid-arrow","强酸箭","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:lich","巫妖","lich","detect-thoughts","侦测思想","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:lich","巫妖","lich","invisibility","隐形术","verified-full","verified-full",""
"srd-5.1:lich","巫妖","lich","mirror-image","镜影术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:lich","巫妖","lich","animate-dead","操纵死尸","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:lich","巫妖","lich","counterspell","法术反制","verified-full","semantic-gap","效果类型 counterspell 尚未进入怪物核心施法白名单"
"srd-5.1:lich","巫妖","lich","dispel-magic","解除魔法","verified-full","verified-full",""
"srd-5.1:lich","巫妖","lich","fireball","火球术","verified-full","verified-full",""
"srd-5.1:lich","巫妖","lich","blight","枯萎术","verified-full","semantic-gap","构装/亡灵免疫与植物目标最大伤害尚未结构化"
"srd-5.1:lich","巫妖","lich","dimension-door","任意门","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:lich","巫妖","lich","cloudkill","死云术","verified-full","verified-full",""
"srd-5.1:lich","巫妖","lich","scrying","探知","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:lich","巫妖","lich","disintegrate","解离术","verified-full","semantic-gap","降至 0 HP 时的解离结果尚未结构化"
"srd-5.1:lich","巫妖","lich","globe-of-invulnerability","法术无效结界","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:lich","巫妖","lich","finger-of-death","死亡一指","verified-full","semantic-gap","击杀人形生物后的僵尸创建尚未结构化"
"srd-5.1:lich","巫妖","lich","plane-shift","异界传送","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:lich","巫妖","lich","dominate-monster","支配怪物","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:lich","巫妖","lich","power-word-stun","律令震慑","verified-full","verified-full",""
"srd-5.1:lich","巫妖","lich","power-word-kill","律令死亡","verified-full","verified-full",""
"srd-5.1:mage","法师","mage","fire-bolt","火焰箭","verified-full","verified-full",""
"srd-5.1:mage","法师","mage","light","光亮术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:mage","法师","mage","mage-hand","法师之手","verified-full","semantic-gap","该持续区域尚未进入怪物核心法术事务白名单"
"srd-5.1:mage","法师","mage","prestidigitation","魔法伎俩","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:mage","法师","mage","detect-magic","侦测魔法","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:mage","法师","mage","mage-armor","法师护甲","verified-full","verified-full",""
"srd-5.1:mage","法师","mage","magic-missile","魔法飞弹","verified-full","verified-full",""
"srd-5.1:mage","法师","mage","shield","护盾术","verified-full","semantic-gap","效果类型 armor-class-buff 尚未进入怪物核心施法白名单"
"srd-5.1:mage","法师","mage","misty-step","迷踪步","verified-full","verified-full",""
"srd-5.1:mage","法师","mage","suggestion","暗示术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:mage","法师","mage","counterspell","法术反制","verified-full","semantic-gap","效果类型 counterspell 尚未进入怪物核心施法白名单"
"srd-5.1:mage","法师","mage","fireball","火球术","verified-full","verified-full",""
"srd-5.1:mage","法师","mage","fly","飞行术","verified-full","verified-full",""
"srd-5.1:mage","法师","mage","greater-invisibility","高等隐形术","verified-full","verified-full",""
"srd-5.1:mage","法师","mage","ice-storm","冰风暴","verified-full","semantic-gap","包含多种伤害分量"
"srd-5.1:mage","法师","mage","cone-of-cold","寒冰锥","verified-full","verified-full",""
"srd-5.1:magma-mephit","岩浆魔蝠","magma-mephit","heat-metal","灼热金属","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:mummy-lord","木乃伊领主","mummy-lord","sacred-flame","圣火术","verified-full","verified-full",""
"srd-5.1:mummy-lord","木乃伊领主","mummy-lord","thaumaturgy","奇术","verified-full","semantic-gap","效果类型 narrative-effect 尚未进入怪物核心施法白名单"
"srd-5.1:mummy-lord","木乃伊领主","mummy-lord","command","命令术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:mummy-lord","木乃伊领主","mummy-lord","guiding-bolt","曳光弹","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:mummy-lord","木乃伊领主","mummy-lord","shield-of-faith","虔诚护盾","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:mummy-lord","木乃伊领主","mummy-lord","hold-person","人类定身术","verified-full","verified-full",""
"srd-5.1:mummy-lord","木乃伊领主","mummy-lord","silence","沉默术","verified-full","verified-full",""
"srd-5.1:mummy-lord","木乃伊领主","mummy-lord","spiritual-weapon","灵体武器","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:mummy-lord","木乃伊领主","mummy-lord","animate-dead","操纵死尸","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:mummy-lord","木乃伊领主","mummy-lord","dispel-magic","解除魔法","verified-full","verified-full",""
"srd-5.1:mummy-lord","木乃伊领主","mummy-lord","divination","预言术","manual","semantic-gap","继承法术结论：manual | No core Headless spell definition."
"srd-5.1:mummy-lord","木乃伊领主","mummy-lord","guardian-of-faith","信仰守卫","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:mummy-lord","木乃伊领主","mummy-lord","contagion","疫病术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:mummy-lord","木乃伊领主","mummy-lord","insect-plague","疫病虫群","verified-full","verified-full",""
"srd-5.1:mummy-lord","木乃伊领主","mummy-lord","harm","重伤术","verified-full","verified-full",""
"srd-5.1:night-hag","夜鬼婆","night-hag","detect-magic","侦测魔法","verified-full","semantic-gap","No core Headless spell definition."
