monsterId,monster,slug,traitIndex,trait,sourceTrait,declaredAutomation,ruleKind,battleImpact,status,issues,runtimeConsumers,directTests
"srd-5.1:adult-copper-dragon","成年赤铜龙","adult-copper-dragon","0","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:adult-gold-dragon","成年金龙","adult-gold-dragon","0","两栖","Amphibious","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:adult-gold-dragon","成年金龙","adult-gold-dragon","1","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:adult-green-dragon","成年绿龙","adult-green-dragon","0","两栖","Amphibious","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:adult-green-dragon","成年绿龙","adult-green-dragon","1","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:adult-red-dragon","成年红龙","adult-red-dragon","0","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:adult-silver-dragon","成年银龙","adult-silver-dragon","0","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:adult-white-dragon","成年白龙","adult-white-dragon","0","冰面行走","Ice Walk","dm-adjudication","","false","exploration-manual-gap","","",""
"srd-5.1:adult-white-dragon","成年白龙","adult-white-dragon","1","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:air-elemental","气元素","air-elemental","0","气体形态","Air Form","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:ancient-black-dragon","远古黑龙","ancient-black-dragon","0","两栖","Amphibious","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:ancient-black-dragon","远古黑龙","ancient-black-dragon","1","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:ancient-blue-dragon","远古蓝龙","ancient-blue-dragon","0","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:ancient-brass-dragon","远古黄铜龙","ancient-brass-dragon","0","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:ancient-bronze-dragon","远古青铜龙","ancient-bronze-dragon","0","两栖","Amphibious","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:ancient-bronze-dragon","远古青铜龙","ancient-bronze-dragon","1","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:ancient-copper-dragon","远古赤铜龙","ancient-copper-dragon","0","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:ancient-gold-dragon","远古金龙","ancient-gold-dragon","0","两栖","Amphibious","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:ancient-gold-dragon","远古金龙","ancient-gold-dragon","1","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:ancient-green-dragon","远古绿龙","ancient-green-dragon","0","两栖","Amphibious","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:ancient-green-dragon","远古绿龙","ancient-green-dragon","1","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:ancient-red-dragon","远古红龙","ancient-red-dragon","0","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:ancient-silver-dragon","远古银龙","ancient-silver-dragon","0","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:ancient-white-dragon","远古白龙","ancient-white-dragon","0","冰面行走","Ice Walk","dm-adjudication","","false","exploration-manual-gap","","",""
"srd-5.1:ancient-white-dragon","远古白龙","ancient-white-dragon","1","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","0","无法窥测","Inscrutable","dm-adjudication","","true","combat-manual-gap","原文包含战斗效果但仍依赖 DM 裁定","",""
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","1","魔法武器","Magic Weapons","headless","magic-weapons","true","verified-full","","src/components/map/Dnd5eMonsterWorkshopDialog.tsx | src/components/map/monsterWorkshopReview.ts | src/rulesets/dnd5e/customMonsterWorkshop.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/mapBridge.ts | src/rulesets/dnd5e/monsterGenericAbilities.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.ts","src/rulesets/dnd5e/monsterGenericAbilities.test.ts | src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/customMonsterWorkshop.test.ts | src/rulesets/dnd5e/fleshGolemHeadless.test.ts | src/rulesets/dnd5e/mapBridge.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.test.ts"
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","2","施法","Spellcasting","dm-adjudication","","true","delegated-to-monster-spells","","",""
"srd-5.1:animated-armor","活化护甲","animated-armor","0","反魔法易感","Antimagic Susceptibility","dm-adjudication","","true","combat-manual-gap","原文包含战斗效果但仍依赖 DM 裁定","",""
"srd-5.1:animated-armor","活化护甲","animated-armor","1","虚假外表","False Appearance","dm-adjudication","","false","excluded-narrative-transform","","",""
"srd-5.1:archmage","大法师","archmage","0","魔法抗性","Magic Resistance","headless","magic-resistance","true","verified-full","","src/components/map/Dnd5eMonsterWorkshopDialog.tsx | src/components/map/monsterWorkshopReview.ts | src/rulesets/dnd5e/customMonsterWorkshop.ts | src/rulesets/dnd5e/monsterGenericAbilities.ts | src/rulesets/dnd5e/monsterStatBlockPaste.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.ts | src/rulesets/dnd5e/passiveDefenses.ts","src/components/map/Dnd5eMonsterAbilityTemplateLibrary.test.tsx | src/lib/combatResolutionTrace.test.ts | src/rulesets/dnd5e/customMonsterWorkshop.test.ts | src/rulesets/dnd5e/fleshGolemHeadless.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.test.ts | src/rulesets/dnd5e/passiveDefenses.test.ts"
"srd-5.1:archmage","大法师","archmage","1","施法","Spellcasting","dm-adjudication","","true","delegated-to-monster-spells","","",""
"srd-5.1:assassin","刺客","assassin","0","刺杀","Assassinate","headless","assassinate","true","verified-full","","src/rulesets/dnd5e/monsterGenericAbilities.ts","src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterCatalogAttackTraitDeclarations.test.ts"
"srd-5.1:assassin","刺客","assassin","1","闪避","Evasion","dm-adjudication","","true","combat-manual-gap","原文包含战斗效果但仍依赖 DM 裁定","","src/rulesets/dnd5e/monsterCatalogAttackTraitDeclarations.test.ts | src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts"
"srd-5.1:assassin","刺客","assassin","2","偷袭（每回合 1 次）","Sneak Attack (1/Turn)","headless","sneak-attack","true","verified-full","","src/components/map/Dnd5eMonsterWorkshopDialog.tsx | src/lib/combatLogDetails.ts | src/lib/dnd5eActionIcons.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/classes.ts | src/rulesets/dnd5e/customMonsterWorkshop.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterGenericAbilities.ts | src/rulesets/dnd5e/monsterTurnPlanner.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.ts","src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterCatalogAttackTraitDeclarations.test.ts | src/rulesets/dnd5e/monsterCatalogAttackTraitRuntime.test.ts | src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/domain/combat/combatMath.test.ts | src/rulesets/dnd5e/equipmentAttackAction.test.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.test.ts"
"srd-5.1:awakened-shrub","觉醒灌木","awakened-shrub","0","虚假外表","False Appearance","dm-adjudication","","false","excluded-narrative-transform","","",""
"srd-5.1:awakened-tree","觉醒树木","awakened-tree","0","虚假外表","False Appearance","dm-adjudication","","false","excluded-narrative-transform","","",""
"srd-5.1:azer","艾泽","azer","0","灼热躯体","Heated Body","dm-adjudication","","true","combat-manual-gap","原文包含战斗效果但仍依赖 DM 裁定","",""
"srd-5.1:azer","艾泽","azer","1","灼热武器","Heated Weapons","dm-adjudication","","true","combat-manual-gap","原文包含战斗效果但仍依赖 DM 裁定","",""
"srd-5.1:azer","艾泽","azer","2","照明","Illumination","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:baboon","狒狒","baboon","0","集群战术","Pack Tactics","headless","pack-tactics","true","verified-full","","src/rulesets/dnd5e/customMonsterWorkshop.ts | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/rulesets/dnd5e/monsterGenericAbilities.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts"
"srd-5.1:badger","獾","badger","0","敏锐嗅觉","Keen Smell","dm-adjudication","","false","exploration-manual-gap","","",""
"srd-5.1:balor","巴洛炎魔","balor","0","临死爆发","Death Throes","headless","death-area-saving-throw","true","verified-full","","src/pages/maps/settleDnd5eCombatResult.ts | src/rulesets/dnd5e/combatSimulation.ts | src/rulesets/dnd5e/headlessCombatEngine.ts","src/rulesets/dnd5e/monsterDeathAreaAndUnnervingMaskCatalog.test.ts | src/rulesets/dnd5e/monsterDeathAreaRuntime.test.ts"
"srd-5.1:balor","巴洛炎魔","balor","1","火焰灵光","Fire Aura","dm-adjudication","","true","combat-manual-gap","原文包含战斗效果但仍依赖 DM 裁定","",""
"srd-5.1:balor","巴洛炎魔","balor","2","魔法抗性","Magic Resistance","headless","magic-resistance","true","verified-full","","src/components/map/Dnd5eMonsterWorkshopDialog.tsx | src/components/map/monsterWorkshopReview.ts | src/rulesets/dnd5e/customMonsterWorkshop.ts | src/rulesets/dnd5e/monsterGenericAbilities.ts | src/rulesets/dnd5e/monsterStatBlockPaste.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.ts | src/rulesets/dnd5e/passiveDefenses.ts","src/rulesets/dnd5e/monsters.test.ts | src/components/map/Dnd5eMonsterAbilityTemplateLibrary.test.tsx | src/lib/combatResolutionTrace.test.ts | src/rulesets/dnd5e/customMonsterWorkshop.test.ts | src/rulesets/dnd5e/fleshGolemHeadless.test.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.test.ts | src/rulesets/dnd5e/passiveDefenses.test.ts"
"srd-5.1:balor","巴洛炎魔","balor","3","魔法武器","Magic Weapons","headless","magic-weapons","true","verified-full","","src/components/map/Dnd5eMonsterWorkshopDialog.tsx | src/components/map/monsterWorkshopReview.ts | src/rulesets/dnd5e/customMonsterWorkshop.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/mapBridge.ts | src/rulesets/dnd5e/monsterGenericAbilities.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.ts","src/rulesets/dnd5e/monsterGenericAbilities.test.ts | src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/customMonsterWorkshop.test.ts | src/rulesets/dnd5e/fleshGolemHeadless.test.ts | src/rulesets/dnd5e/mapBridge.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.test.ts"
"srd-5.1:barbed-devil","针刺魔","barbed-devil","0","倒刺外皮","Barbed Hide","dm-adjudication","","true","combat-manual-gap","原文包含战斗效果但仍依赖 DM 裁定","",""
"srd-5.1:barbed-devil","针刺魔","barbed-devil","1","魔鬼视界","Devil's Sight","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:barbed-devil","针刺魔","barbed-devil","2","魔法抗性","Magic Resistance","headless","magic-resistance","true","verified-full","","src/components/map/Dnd5eMonsterWorkshopDialog.tsx | src/components/map/monsterWorkshopReview.ts | src/rulesets/dnd5e/customMonsterWorkshop.ts | src/rulesets/dnd5e/monsterGenericAbilities.ts | src/rulesets/dnd5e/monsterStatBlockPaste.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.ts | src/rulesets/dnd5e/passiveDefenses.ts","src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/components/map/Dnd5eMonsterAbilityTemplateLibrary.test.tsx | src/lib/combatResolutionTrace.test.ts | src/rulesets/dnd5e/customMonsterWorkshop.test.ts | src/rulesets/dnd5e/fleshGolemHeadless.test.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.test.ts | src/rulesets/dnd5e/passiveDefenses.test.ts"
"srd-5.1:basilisk","石化蜥蜴","basilisk","0","石化凝视","Petrifying Gaze","headless","turn-start-gaze","true","verified-full","","src/rulesets/dnd5e/headlessCombatEngine.ts","src/rulesets/dnd5e/monsterBasiliskGazeHeadless.test.ts"
"srd-5.1:bat","蝙蝠","bat","0","回声定位","Echolocation","dm-adjudication","","false","exploration-manual-gap","","",""
"srd-5.1:bat","蝙蝠","bat","1","敏锐听觉","Keen Hearing","dm-adjudication","","false","exploration-manual-gap","","",""
"srd-5.1:bearded-devil","须魔","bearded-devil","0","魔鬼视界","Devil's Sight","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:bearded-devil","须魔","bearded-devil","1","魔法抗性","Magic Resistance","headless","magic-resistance","true","verified-full","","src/components/map/Dnd5eMonsterWorkshopDialog.tsx | src/components/map/monsterWorkshopReview.ts | src/rulesets/dnd5e/customMonsterWorkshop.ts | src/rulesets/dnd5e/monsterGenericAbilities.ts | src/rulesets/dnd5e/monsterStatBlockPaste.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.ts | src/rulesets/dnd5e/passiveDefenses.ts","src/rulesets/dnd5e/monsterConditionalOnHitBatch.test.ts | src/components/map/Dnd5eMonsterAbilityTemplateLibrary.test.tsx | src/lib/combatResolutionTrace.test.ts | src/rulesets/dnd5e/customMonsterWorkshop.test.ts | src/rulesets/dnd5e/fleshGolemHeadless.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.test.ts | src/rulesets/dnd5e/passiveDefenses.test.ts"
"srd-5.1:bearded-devil","须魔","bearded-devil","2","坚定","Steadfast","dm-adjudication","","true","combat-manual-gap","原文包含战斗效果但仍依赖 DM 裁定","",""
"srd-5.1:berserker","狂战士","berserker","0","鲁莽","Reckless","headless","reckless","true","verified-full","","src/rulesets/dnd5e/monsterGenericAbilities.ts","src/rulesets/dnd5e/equipmentAttackAction.test.ts | src/rulesets/dnd5e/mapBridge.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts | src/rulesets/dnd5e/monsterTriggeredAttackTraits.test.ts"
"srd-5.1:black-bear","黑熊","black-bear","0","敏锐嗅觉","Keen Smell","dm-adjudication","","false","exploration-manual-gap","","",""
"srd-5.1:black-dragon-wyrmling","黑龙雏龙","black-dragon-wyrmling","0","两栖","Amphibious","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:black-pudding","黑布丁","black-pudding","0","无定形","Amorphous","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:black-pudding","黑布丁","black-pudding","1","腐蚀形态","Corrosive Form","dm-adjudication","","true","combat-manual-gap","原文包含战斗效果但仍依赖 DM 裁定","",""
"srd-5.1:black-pudding","黑布丁","black-pudding","2","蛛行","Spider Climb","dm-adjudication","","false","exploration-manual-gap","","",""
"srd-5.1:blink-dog","闪现犬","blink-dog","0","敏锐听觉与嗅觉","Keen Hearing and Smell","dm-adjudication","","false","exploration-manual-gap","","",""
"srd-5.1:blood-hawk","血鹰","blood-hawk","0","敏锐视觉","Keen Sight","dm-adjudication","","false","exploration-manual-gap","","",""
"srd-5.1:blood-hawk","血鹰","blood-hawk","1","集群战术","Pack Tactics","headless","pack-tactics","true","verified-full","","src/rulesets/dnd5e/customMonsterWorkshop.ts | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/rulesets/dnd5e/monsterGenericAbilities.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts"
"srd-5.1:boar","野猪","boar","0","冲锋","Charge","headless","charge-damage","true","verified-full","","src/components/map/Dnd5eMonsterWorkshopDialog.tsx | src/components/map/monsterWorkshopReview.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/customMonsterWorkshop.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterGenericAbilities.ts | src/rulesets/dnd5e/monsterStatBlockPaste.ts | src/rulesets/dnd5e/monsterTurnPlanner.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.ts","src/rulesets/dnd5e/monsterAttackAction.test.ts | src/rulesets/dnd5e/monsterCatalogAttackTraitRuntime.test.ts | src/rulesets/dnd5e/customMonsterWorkshop.test.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.test.ts"
"srd-5.1:boar","野猪","boar","1","坚韧不屈","Relentless","headless","relentless","true","verified-full","","src/components/map/Dnd5eMonsterWorkshopDialog.tsx | src/rulesets/dnd5e/customMonsterWorkshop.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.ts","src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsterRelentless.test.ts | src/store/characterTokenPresentation.test.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.test.ts"
"srd-5.1:bone-devil","骨魔","bone-devil","0","魔鬼视界","Devil's Sight","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:bone-devil","骨魔","bone-devil","1","魔法抗性","Magic Resistance","headless","magic-resistance","true","verified-full","","src/components/map/Dnd5eMonsterWorkshopDialog.tsx | src/components/map/monsterWorkshopReview.ts | src/rulesets/dnd5e/customMonsterWorkshop.ts | src/rulesets/dnd5e/monsterGenericAbilities.ts | src/rulesets/dnd5e/monsterStatBlockPaste.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.ts | src/rulesets/dnd5e/passiveDefenses.ts","src/rulesets/dnd5e/monsters.test.ts | src/components/map/Dnd5eMonsterAbilityTemplateLibrary.test.tsx | src/lib/combatResolutionTrace.test.ts | src/rulesets/dnd5e/customMonsterWorkshop.test.ts | src/rulesets/dnd5e/fleshGolemHeadless.test.ts | src/rulesets/dnd5e/monsterWorkshopAbilityTemplates.test.ts | src/rulesets/dnd5e/passiveDefenses.test.ts"
"srd-5.1:bronze-dragon-wyrmling","青铜龙雏龙","bronze-dragon-wyrmling","0","两栖","Amphibious","dm-adjudication","","false","non-combat-or-narrative","","",""
