id,name,englishName,level,implementation,declaredTarget,status,expectedSemantics,expectedCapabilities,semanticGaps,unprovenCapabilities,runtimeSpecializations,runtimeReferences,directTests
"antipathy-sympathy","嫌恶/关怀术","Antipathy/Sympathy","8","audited-activity","partial","partial","saving-throw | area | condition | turn-trigger","persistent-area | typed-target | semantic-creature-category","原文要求 condition，Activity 及专用运行时均无完整证据 | 原文要求 turn-trigger，Activity 及专用运行时均无完整证据","","","",""
"arcane-eye","秘法眼","Arcane Eye","4","audited-activity","full","verified-full","concentration | condition | movement","sensor-vision | entity-movement | darkvision","","","","","src/lib/dnd5eActionIcons.test.ts | src/lib/playerVision.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityMapInteraction.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts"
"arcane-hand","奥术之手","Arcane Hand","5","audited-activity","full","verified-full","spell-attack | damage | concentration | condition | movement | sustained-control | slot-scaling","summon-companion | granted-activity | contested-check","","","summon-companion | contested-check","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/adjudicatedSpellAction.test.ts | src/rulesets/dnd5e/spellbook.test.ts | src/rulesets/dnd5e/spellCatalog.test.ts"
"arcane-lock","秘法锁","Arcane Lock","2","audited-activity","full","verified-full","","door-state | password-state | dispel-state","","","door-state | password-state | dispel-state","src/rulesets/dnd5e/activities/dnd5eActivityContracts.ts | src/rulesets/dnd5e/activities/dnd5eActivityExecutor.ts | src/rulesets/dnd5e/activities/dnd5eActivityMapInteraction.ts | src/rulesets/dnd5e/activities/dnd5eActivityValidation.ts | src/rulesets/dnd5e/spellMaterials.ts","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityMapInteraction.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts | src/rulesets/dnd5e/mapInteraction.test.ts | src/rulesets/dnd5e/mapObjectState.test.ts"
"arcane-sword","奥术之剑","Arcane Sword","7","audited-activity","full","verified-full","spell-attack | damage | concentration | movement | sustained-control","summon-companion | granted-activity | spell-attack","","","summon-companion","src/rulesets/dnd5e/spellMaterials.ts | src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts"
"arcanists-magic-aura","奥法师魔法灵光","Arcanist’s Magic Aura","2","audited-activity","partial","partial","","metadata-override | semantic-detection | long-term-state","","long-term-state","","","src/lib/dnd5eActionIcons.test.ts"
"astral-projection","星界投影","Astral Projection","9","audited-activity","partial","partial","condition | movement","planar-state | cross-scene | death-handoff","原文要求 condition，Activity 及专用运行时均无完整证据 | 原文要求 movement，Activity 及专用运行时均无完整证据","planar-state | death-handoff","","",""
"augury","卜筮术","Augury","2","none","manual","manual","","dm-response | future-information","","","","","src/rulesets/dnd5e/activities/dnd5eActivityExecutor.test.ts"
"awaken","启蒙术","Awaken","5","audited-activity","partial","partial","condition","ability-override | condition-lifecycle | npc-personality","","","","","src/rulesets/dnd5e/monsterSchema.test.ts"
"bane","灾祸术","Bane","1","core-transaction","full","verified-full","saving-throw | concentration | slot-scaling","","","","","src/pages/maps/dnd5eRollInterruptPipeline.ts | src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/beginTurnAction.ts | src/rulesets/dnd5e/classFeatureAction.ts | src/rulesets/dnd5e/combatSimulation.ts | src/rulesets/dnd5e/endTurnAction.ts | src/rulesets/dnd5e/equipmentAttackAction.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/hunterMultiattackAction.ts | src/rulesets/dnd5e/monsterAttackAction.ts | src/rulesets/dnd5e/opportunityAttackAction.ts | src/rulesets/dnd5e/playerMoveAction.ts | src/rulesets/dnd5e/pluginAreaTransactions.ts | src/rulesets/dnd5e/spellAction.ts | src/rulesets/dnd5e/spellVisibility.ts","src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"banishment","放逐术","Banishment","4","core-transaction","full","verified-full","saving-throw | concentration | condition | slot-scaling","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/monsterTurnPlanner.ts | src/rulesets/dnd5e/spellVisibility.ts","src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/monsterCoreSpellAction.test.ts"
"barkskin","树肤术","Barkskin","2","core-transaction","full","verified-full","concentration","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/monsterSupportCandidateGenerators.ts","src/lib/combatPresentation.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/monsterCoreSpellAction.test.ts"
"beacon-of-hope","希望信标","Beacon of Hope","3","audited-activity","full","verified-full","healing | concentration","saving-throw-modifier | maximum-healing | condition-immunity","","","condition-immunity","src/rulesets/dnd5e/activities/dnd5eActivityHeadlessCompiler.ts | src/rulesets/dnd5e/headlessCombatEngine.ts","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts"
"bestow-curse","降咒","Bestow Curse","3","audited-activity","partial","partial","saving-throw | damage | concentration | turn-trigger | slot-scaling","mode-choice | effect-modifier | open-ended-option","原文要求 concentration，Activity 及专用运行时均无完整证据 | 原文要求 turn-trigger，Activity 及专用运行时均无完整证据 | 原文要求 slot-scaling，Activity 及专用运行时均无完整证据","mode-choice","","","src/lib/dnd5eActionIcons.test.ts"
"black-tentacles","黑触手","Black Tentacles","4","core-transaction","full","verified-full","saving-throw | damage | concentration | condition","","","","saving-throw | damage | condition","src/rulesets/dnd5e/coreSpellAreas.ts | src/rulesets/dnd5e/coreSpellAreaVisuals.ts | src/rulesets/dnd5e/persistentAreaTypes.ts | src/rulesets/dnd5e/spellVisibility.ts | src/rulesets/dnd5e/verticalCombatGeometry.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/coreSpellAreas.test.ts | src/rulesets/dnd5e/localContentCollection.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"blade-barrier","剑刃护壁","Blade Barrier","6","core-transaction","full","verified-full","saving-throw | half-on-save | damage | concentration | turn-trigger","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/pages/maps/wallOfFireTargeting.ts | src/pages/maps/WallOfFireTargetingControls.tsx | src/rulesets/dnd5e/coreSpellAreas.ts | src/rulesets/dnd5e/coreSpellAreaVisuals.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/monsterCoreSpellAction.ts | src/rulesets/dnd5e/persistentAreaPresentation.ts | src/rulesets/dnd5e/persistentAreaTypes.ts | src/rulesets/dnd5e/spellAction.ts | src/rulesets/dnd5e/spellbook.ts","src/lib/sharedServerCore.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/combatPersistentSpellBatch.test.ts | src/rulesets/dnd5e/coreSpellAreas.test.ts | src/rulesets/dnd5e/persistentAreaPresentation.test.ts | src/rulesets/dnd5e/persistentAreaTypes.test.ts"
"bless","祝福术","Bless","1","core-transaction","full","verified-full","concentration | slot-scaling","","","","","src/pages/maps/dnd5eRollInterruptPipeline.ts | src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/beginTurnAction.ts | src/rulesets/dnd5e/classFeatureAction.ts | src/rulesets/dnd5e/combatSimulation.ts | src/rulesets/dnd5e/endTurnAction.ts | src/rulesets/dnd5e/equipmentAttackAction.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/hunterMultiattackAction.ts | src/rulesets/dnd5e/monsterAttackAction.ts | src/rulesets/dnd5e/opportunityAttackAction.ts | src/rulesets/dnd5e/playerMoveAction.ts | src/rulesets/dnd5e/pluginAreaTransactions.ts | src/rulesets/dnd5e/spellAction.ts","src/lib/sharedServerCore.test.ts | src/pages/maps/combatStartTokenMarks.test.ts | src/pages/maps/dmWallOfFireRemoval.test.ts | src/pages/maps/flamingSphereConcentration.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/activeEffectsHeadless.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityExecutor.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts | src/rulesets/dnd5e/classFeatureAction.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"blight","枯萎术","Blight","4","core-transaction","full","verified-full","saving-throw | half-on-save | damage | slot-scaling","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/spellAction.ts | src/rulesets/dnd5e/spellVisibility.ts","src/lib/combatPresentation.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts"
"blindness-deafness","目盲/耳聋术","Blindness/Deafness","2","core-transaction","full","verified-full","saving-throw | condition | turn-trigger | slot-scaling","","","","turn-trigger","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/spellVisibility.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts"
"blink","闪现术","Blink","3","audited-activity","full","verified-full","turn-trigger","random-table | planar-state | turn-trigger","","","random-table","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts | src/rulesets/dnd5e/endTurnAction.test.ts"
"blur","朦胧术","Blur","2","core-transaction","full","verified-full","concentration","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/monsterSupportCandidateGenerators.ts | src/rulesets/dnd5e/spellAction.ts","src/components/character/Dnd5eSpellbookPanel.test.tsx | src/components/map/Dnd5eActionIcon.test.tsx | src/components/map/tokenBorderFlow.test.ts | src/lib/combatPresentation.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/equipmentAttackAction.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/monsterCoreSpellAction.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"branding-smite","印记斩","Branding Smite","2","audited-activity","full","verified-full","damage | concentration | condition | slot-scaling","on-hit-rider | damage-scaling | visibility-effect","","","","","src/lib/dnd5eActionIcons.test.ts | src/presentation/maps/MapViewportLayer.test.ts | src/rulesets/dnd5e/activeEffects.test.ts | src/rulesets/dnd5e/pluginSpellTransaction.test.ts"
"burning-hands","燃烧之手","Burning Hands","1","core-transaction","full","verified-full","saving-throw | half-on-save | damage | area | slot-scaling","","","","","","src/components/map/combatSpellDamagePresentation.test.ts | src/lib/combatLogDetails.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/sharedServerCore.test.ts | src/lib/vfxSequence.test.ts | src/pages/maps/aoeTargetingSession.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/eldritchKnight.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/spellbook.test.ts | src/rulesets/dnd5e/verticalCombatGeometry.test.ts"
"call-lightning","召雷术","Call Lightning","3","core-transaction","full","verified-full","saving-throw | half-on-save | damage | concentration | area | sustained-control | slot-scaling","","","","","src/rulesets/dnd5e/coreSpellAreas.ts | src/rulesets/dnd5e/coreSpellAreaVisuals.ts | src/rulesets/dnd5e/persistentAreaTypes.ts | src/rulesets/dnd5e/spellAction.ts | src/rulesets/dnd5e/spellbook.ts | src/rulesets/dnd5e/spellVisibility.ts | src/rulesets/dnd5e/sustainedSpellControls.ts","src/components/map/PlayerMapSpellHotbar.test.ts | src/lib/dnd5eActionIcons.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterParryHeadless.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/spellbook.test.ts | src/rulesets/dnd5e/spellCatalog.test.ts | src/rulesets/dnd5e/spellPresentationCoverage.test.ts"
"calm-emotions","安定心神","Calm Emotions","2","audited-activity","partial","partial","saving-throw | concentration | area | condition","saving-throw | condition-suppression | semantic-hostility","原文要求 concentration，Activity 及专用运行时均无完整证据 | 原文要求 area，Activity 及专用运行时均无完整证据","","","","src/lib/dnd5eActionIcons.test.ts | src/pages/mapsPageHelpers.test.ts"
"chain-lightning","连锁闪电","Chain Lightning","6","core-transaction","full","verified-full","saving-throw | half-on-save | damage | slot-scaling","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/spellVisibility.ts","src/lib/combatPresentation.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"charm-person","魅惑人类","Charm Person","1","core-transaction","full","verified-full","saving-throw | condition | slot-scaling","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/monsterTurnPlanner.ts | src/rulesets/dnd5e/spellVisibility.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/activeEffects.test.ts | src/rulesets/dnd5e/activeEffectsHeadless.test.ts | src/rulesets/dnd5e/airborneFallActionResolution.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterCoreSpellAction.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"chill-touch","冻寒之触","Chill Touch","0","core-transaction","full","verified-full","spell-attack | damage | turn-trigger","","","","turn-trigger","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/vfxSequence.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/spellPresentationCoverage.test.ts"
"circle-of-death","死亡法阵","Circle of Death","6","core-transaction","full","verified-full","saving-throw | half-on-save | damage | area | slot-scaling","","","","","src/rulesets/dnd5e/spellMaterials.ts","src/lib/combatPresentation.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/spellCatalog.test.ts"
"clairvoyance","鹰眼术","Clairvoyance","3","audited-activity","partial","partial","concentration | condition","sensor-vision | cross-scene | semantic-location","原文要求 concentration，Activity 及专用运行时均无完整证据 | 原文要求 condition，Activity 及专用运行时均无完整证据","","","",""
"clone","克隆术","Clone","8","audited-activity","full","verified-full","","long-term-state | death-handoff | body-snapshot","","","","","src/lib/aiJobProtocol.test.ts | src/lib/dnd5eMonsterTurnPlannerWorker.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/settleDnd5eCombatResult.test.ts | src/rulesets/dnd5e/activeEffects.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityMapInteraction.test.ts | src/rulesets/dnd5e/airborneFallActionResolution.test.ts | src/rulesets/dnd5e/declarativeSubclassAbility.test.ts | src/rulesets/dnd5e/equipment.test.ts | src/rulesets/dnd5e/equipmentAttackAction.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/mapBridge.test.ts | src/rulesets/dnd5e/mapInteraction.test.ts | src/rulesets/dnd5e/monsterComplexRelationMultiattacks.test.ts | src/rulesets/dnd5e/monsterConditionalCompositeChildren.test.ts | src/rulesets/dnd5e/monsterConditionalOnHitBatch.test.ts | src/rulesets/dnd5e/monsterDeathAreaRuntime.test.ts | src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsterHealingTouch.test.ts | src/rulesets/dnd5e/monsterKrakenFling.test.ts | src/rulesets/dnd5e/monsterMummyRotMultiattack.test.ts | src/rulesets/dnd5e/monsterRelentless.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts | src/rulesets/dnd5e/monsterTeleportInvisibility.test.ts | src/rulesets/dnd5e/monsterVampireBiteEligibility.test.ts | src/rulesets/dnd5e/optionalBonusDieSpells.test.ts | src/rulesets/dnd5e/pluginSpellTransaction.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/spellAdvancement.test.ts"
"cloudkill","死云术","Cloudkill","5","core-transaction","full","verified-full","saving-throw | half-on-save | damage | concentration | area | turn-trigger | slot-scaling","","","","","src/rulesets/dnd5e/coreSpellAreas.ts | src/rulesets/dnd5e/coreSpellAreaVisuals.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/persistentAreaPresentation.ts | src/rulesets/dnd5e/persistentAreaTypes.ts","src/components/map/flamingSphereHandoff.test.ts | src/components/map/MapPersistentAreaLayers.test.ts | src/lib/combatPresentation.test.ts | src/lib/vfxSequence.test.ts | src/rulesets/dnd5e/combatPersistentSpellBatch.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/monsterCoreSpellAction.test.ts"
"color-spray","七彩喷射","Color Spray","1","core-transaction","full","verified-full","area | condition | slot-scaling","","","","condition","src/rulesets/dnd5e/headlessCombatEngine.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"command","命令术","Command","1","audited-activity","partial","partial","saving-throw | condition | slot-scaling","saving-throw | semantic-command | dm-interpretation","","","condition | slot-scaling","src/rulesets/dnd5e/declarativeSubclassAbility.ts | src/rulesets/dnd5e/spellVisibility.ts","src/application/commands/commandOutcome.test.ts | src/components/map/dnd5eMonsterPortraitPrompt.test.ts | src/components/map/PlayerCombatHotbar.test.ts | src/lib/combatCommandApi.test.ts | src/lib/pendingCombatCommandStore.test.ts | src/lib/roomCommandBus.test.ts | src/lib/roomCommunications.test.ts | src/lib/sharedServerCombatTransactions.test.ts | src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityCommand.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityExecutor.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts | src/rulesets/dnd5e/activities/dnd5eLongLivedSpellActivities.test.ts | src/rulesets/dnd5e/battleMasterHeadless.test.ts | src/rulesets/dnd5e/genericCombatPrimitives.test.ts | src/rulesets/dnd5e/inventoryHeadlessEffectAuthority.test.ts | src/rulesets/dnd5e/monsterContentDeepAnalysis.test.ts | src/rulesets/dnd5e/monsterStatBlockPaste.test.ts | src/rulesets/dnd5e/spellbook.test.ts | src/store/roomCommands.test.ts"
"commune","通神术","Commune","5","none","manual","manual","","dm-response | future-information","","","","",""
"commune-with-nature","问道自然","Commune with Nature","5","none","manual","manual","","dm-response | world-information","","","","",""
"comprehend-languages","通晓语言","Comprehend Languages","1","audited-activity","full","verified-full","","language-capability | duration","","","","","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/activeEffects.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts | src/rulesets/dnd5e/spellPresentationCoverage.test.ts"
"compulsion","强迫术","Compulsion","4","audited-activity","full","verified-full","saving-throw | concentration | condition | sustained-control","saving-throw | forced-movement | turn-trigger","","","","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts"
"cone-of-cold","寒冰锥","Cone of Cold","5","core-transaction","full","verified-full","saving-throw | half-on-save | damage | area | slot-scaling","","","","","src/rulesets/dnd5e/spellbook.ts","src/lib/combatPresentation.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/spellbook.test.ts"
"confusion","困惑术","Confusion","4","audited-activity","partial","partial","saving-throw | concentration | area | turn-trigger | slot-scaling","saving-throw | random-table | save-ends | area-and-slot-scaling-gap","原文要求 concentration，Activity 及专用运行时均无完整证据 | 原文要求 turn-trigger，Activity 及专用运行时均无完整证据","random-table","","","src/rulesets/dnd5e/headlessCombatEngine.test.ts"
"conjure-animals","召唤动物","Conjure Animals","3","audited-activity","partial","partial","concentration | slot-scaling","summon-companion | count-choice | dm-creature-choice","","","concentration | slot-scaling","src/rulesets/dnd5e/spellVisibility.ts","src/lib/dnd5eActionIcons.test.ts"
"conjure-celestial","召唤天界生物","Conjure Celestial","7","audited-activity","partial","partial","concentration | slot-scaling","summon-companion | slot-scaling | dm-creature-choice","原文要求 concentration，Activity 及专用运行时均无完整证据","","","src/rulesets/dnd5e/spellVisibility.ts",""
"conjure-elemental","召唤元素生物","Conjure Elemental","5","audited-activity","partial","partial","concentration | area | slot-scaling","summon-companion | material-targeting | dm-creature-choice","原文要求 concentration，Activity 及专用运行时均无完整证据 | 原文要求 area，Activity 及专用运行时均无完整证据 | 原文要求 slot-scaling，Activity 及专用运行时均无完整证据","","","",""
"conjure-fey","召唤精类生物","Conjure Fey","6","audited-activity","partial","partial","concentration | slot-scaling","summon-companion | slot-scaling | dm-creature-choice","原文要求 concentration，Activity 及专用运行时均无完整证据","","","src/rulesets/dnd5e/spellVisibility.ts",""
"conjure-minor-elementals","召唤次级元素生物","Conjure Minor Elementals","4","audited-activity","partial","partial","concentration | slot-scaling","summon-companion | count-choice | dm-creature-choice","","","concentration | slot-scaling","src/rulesets/dnd5e/spellVisibility.ts","src/lib/dnd5eActionIcons.test.ts"
"conjure-woodland-beings","召唤林地之精","Conjure Woodland Beings","4","audited-activity","partial","partial","concentration | slot-scaling","summon-companion | count-choice | dm-creature-choice","","","concentration | slot-scaling","src/rulesets/dnd5e/spellVisibility.ts","src/lib/dnd5eActionIcons.test.ts"
"contact-other-plane","异界探知","Contact Other Plane","5","audited-activity","partial","partial","saving-throw | damage","dm-response | saving-throw | random-damage","","","","",""
"contagion","疫病术","Contagion","5","audited-activity","full","verified-full","saving-throw | spell-attack | condition | turn-trigger","spell-attack | multi-save-counter | mode-choice","","","","","src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts"
"contingency","触发术","Contingency","6","audited-activity","partial","partial","","invoke-activity | open-text-trigger | spell-storage","","","","",""
