monsterId,monster,slug,section,actionId,action,kind,complexity,declaredAutomation,structuralAutomation,status,issues,directTests
"srd-5.1:adult-black-dragon","成年黑龙","adult-black-dragon","actions","claw","爪击","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/endTurnAction.test.ts | src/rulesets/dnd5e/monsterCompositeMultiattack.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-black-dragon","成年黑龙","adult-black-dragon","actions","tail","尾击","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/monsterGenericAbilities.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-black-dragon","成年黑龙","adult-black-dragon","actions","frightful-presence","骇人威仪","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterCompositeMultiattack.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-black-dragon","成年黑龙","adult-black-dragon","actions","acid-breath","强酸吐息","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/endTurnAction.test.ts | src/rulesets/dnd5e/monsterCoreSpellAction.test.ts | src/rulesets/dnd5e/monsterGenericAbilities.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-black-dragon","成年黑龙","adult-black-dragon","actions","multiattack-weapons-only","多重攻击: Weapons Only","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-black-dragon","成年黑龙","adult-black-dragon","legendaryActions","detect","侦测","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-black-dragon","成年黑龙","adult-black-dragon","legendaryActions","tail-attack","尾击攻击","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/monsterGenericAbilities.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts"
"srd-5.1:adult-black-dragon","成年黑龙","adult-black-dragon","legendaryActions","wing-attack-costs-2-actions","翼击（消耗 2 动作）","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterResourceActions.test.ts"
"srd-5.1:adult-blue-dragon","成年蓝龙","adult-blue-dragon","actions","multiattack","多重攻击","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-blue-dragon","成年蓝龙","adult-blue-dragon","actions","bite","啃咬","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-blue-dragon","成年蓝龙","adult-blue-dragon","actions","claw","爪击","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-blue-dragon","成年蓝龙","adult-blue-dragon","actions","tail","尾击","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-blue-dragon","成年蓝龙","adult-blue-dragon","actions","frightful-presence","骇人威仪","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-blue-dragon","成年蓝龙","adult-blue-dragon","actions","lightning-breath","闪电吐息","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-blue-dragon","成年蓝龙","adult-blue-dragon","actions","multiattack-weapons-only","多重攻击: Weapons Only","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-blue-dragon","成年蓝龙","adult-blue-dragon","legendaryActions","detect","侦测","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-blue-dragon","成年蓝龙","adult-blue-dragon","legendaryActions","tail-attack","尾击攻击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-blue-dragon","成年蓝龙","adult-blue-dragon","legendaryActions","wing-attack-costs-2-actions","翼击（消耗 2 动作）","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-brass-dragon","成年黄铜龙","adult-brass-dragon","actions","multiattack","多重攻击","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-brass-dragon","成年黄铜龙","adult-brass-dragon","actions","bite","啃咬","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-brass-dragon","成年黄铜龙","adult-brass-dragon","actions","claw","爪击","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-brass-dragon","成年黄铜龙","adult-brass-dragon","actions","tail","尾击","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-brass-dragon","成年黄铜龙","adult-brass-dragon","actions","frightful-presence","骇人威仪","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-brass-dragon","成年黄铜龙","adult-brass-dragon","actions","breath-weapons","吐息武器","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-brass-dragon","成年黄铜龙","adult-brass-dragon","actions","multiattack-weapons-only","多重攻击: Weapons Only","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-brass-dragon","成年黄铜龙","adult-brass-dragon","legendaryActions","detect","侦测","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-brass-dragon","成年黄铜龙","adult-brass-dragon","legendaryActions","tail-attack","尾击攻击","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/monsterResourceActions.test.ts"
"srd-5.1:adult-brass-dragon","成年黄铜龙","adult-brass-dragon","legendaryActions","wing-attack-costs-2-actions","翼击（消耗 2 动作）","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterResourceActions.test.ts"
"srd-5.1:adult-bronze-dragon","成年青铜龙","adult-bronze-dragon","actions","multiattack","多重攻击","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-bronze-dragon","成年青铜龙","adult-bronze-dragon","actions","bite","啃咬","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-bronze-dragon","成年青铜龙","adult-bronze-dragon","actions","claw","爪击","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-bronze-dragon","成年青铜龙","adult-bronze-dragon","actions","tail","尾击","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-bronze-dragon","成年青铜龙","adult-bronze-dragon","actions","frightful-presence","骇人威仪","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-bronze-dragon","成年青铜龙","adult-bronze-dragon","actions","breath-weapons","吐息武器","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterAreaAction.test.ts | src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-bronze-dragon","成年青铜龙","adult-bronze-dragon","actions","multiattack-weapons-only","多重攻击: Weapons Only","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-bronze-dragon","成年青铜龙","adult-bronze-dragon","legendaryActions","detect","侦测","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-bronze-dragon","成年青铜龙","adult-bronze-dragon","legendaryActions","tail-attack","尾击攻击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-bronze-dragon","成年青铜龙","adult-bronze-dragon","legendaryActions","wing-attack-costs-2-actions","翼击（消耗 2 动作）","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts"
"srd-5.1:adult-copper-dragon","成年赤铜龙","adult-copper-dragon","actions","multiattack","多重攻击","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-copper-dragon","成年赤铜龙","adult-copper-dragon","actions","bite","啃咬","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-copper-dragon","成年赤铜龙","adult-copper-dragon","actions","claw","爪击","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-copper-dragon","成年赤铜龙","adult-copper-dragon","actions","tail","尾击","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-copper-dragon","成年赤铜龙","adult-copper-dragon","actions","frightful-presence","骇人威仪","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-copper-dragon","成年赤铜龙","adult-copper-dragon","actions","breath-weapons","吐息武器","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-copper-dragon","成年赤铜龙","adult-copper-dragon","actions","multiattack-weapons-only","多重攻击: Weapons Only","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-copper-dragon","成年赤铜龙","adult-copper-dragon","legendaryActions","detect","侦测","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-copper-dragon","成年赤铜龙","adult-copper-dragon","legendaryActions","tail-attack","尾击攻击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-copper-dragon","成年赤铜龙","adult-copper-dragon","legendaryActions","wing-attack-costs-2-actions","翼击（消耗 2 动作）","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts"
"srd-5.1:adult-gold-dragon","成年金龙","adult-gold-dragon","actions","multiattack","多重攻击","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-gold-dragon","成年金龙","adult-gold-dragon","actions","bite","啃咬","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-gold-dragon","成年金龙","adult-gold-dragon","actions","claw","爪击","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-gold-dragon","成年金龙","adult-gold-dragon","actions","tail","尾击","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-gold-dragon","成年金龙","adult-gold-dragon","actions","frightful-presence","骇人威仪","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-gold-dragon","成年金龙","adult-gold-dragon","actions","breath-weapons","吐息武器","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-gold-dragon","成年金龙","adult-gold-dragon","actions","multiattack-weapons-only","多重攻击: Weapons Only","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-gold-dragon","成年金龙","adult-gold-dragon","legendaryActions","detect","侦测","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-gold-dragon","成年金龙","adult-gold-dragon","legendaryActions","tail-attack","尾击攻击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-gold-dragon","成年金龙","adult-gold-dragon","legendaryActions","wing-attack-costs-2-actions","翼击（消耗 2 动作）","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts"
"srd-5.1:adult-green-dragon","成年绿龙","adult-green-dragon","actions","multiattack","多重攻击","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-green-dragon","成年绿龙","adult-green-dragon","actions","bite","啃咬","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-green-dragon","成年绿龙","adult-green-dragon","actions","claw","爪击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-green-dragon","成年绿龙","adult-green-dragon","actions","tail","尾击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-green-dragon","成年绿龙","adult-green-dragon","actions","frightful-presence","骇人威仪","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-green-dragon","成年绿龙","adult-green-dragon","actions","poison-breath","毒气吐息","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-green-dragon","成年绿龙","adult-green-dragon","actions","multiattack-weapons-only","多重攻击: Weapons Only","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-green-dragon","成年绿龙","adult-green-dragon","legendaryActions","detect","侦测","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-green-dragon","成年绿龙","adult-green-dragon","legendaryActions","tail-attack","尾击攻击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-green-dragon","成年绿龙","adult-green-dragon","legendaryActions","wing-attack-costs-2-actions","翼击（消耗 2 动作）","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-red-dragon","成年红龙","adult-red-dragon","actions","multiattack","多重攻击","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-red-dragon","成年红龙","adult-red-dragon","actions","bite","啃咬","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-red-dragon","成年红龙","adult-red-dragon","actions","claw","爪击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-red-dragon","成年红龙","adult-red-dragon","actions","tail","尾击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-red-dragon","成年红龙","adult-red-dragon","actions","frightful-presence","骇人威仪","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-red-dragon","成年红龙","adult-red-dragon","actions","fire-breath","火焰吐息","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-red-dragon","成年红龙","adult-red-dragon","actions","multiattack-weapons-only","多重攻击: Weapons Only","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-red-dragon","成年红龙","adult-red-dragon","legendaryActions","detect","侦测","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-red-dragon","成年红龙","adult-red-dragon","legendaryActions","tail-attack","尾击攻击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-red-dragon","成年红龙","adult-red-dragon","legendaryActions","wing-attack-costs-2-actions","翼击（消耗 2 动作）","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-silver-dragon","成年银龙","adult-silver-dragon","actions","multiattack","多重攻击","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-silver-dragon","成年银龙","adult-silver-dragon","actions","bite","啃咬","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-silver-dragon","成年银龙","adult-silver-dragon","actions","claw","爪击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-silver-dragon","成年银龙","adult-silver-dragon","actions","tail","尾击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-silver-dragon","成年银龙","adult-silver-dragon","actions","frightful-presence","骇人威仪","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-silver-dragon","成年银龙","adult-silver-dragon","actions","breath-weapons","吐息武器","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-silver-dragon","成年银龙","adult-silver-dragon","actions","multiattack-weapons-only","多重攻击: Weapons Only","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-silver-dragon","成年银龙","adult-silver-dragon","legendaryActions","detect","侦测","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-silver-dragon","成年银龙","adult-silver-dragon","legendaryActions","tail-attack","尾击攻击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-silver-dragon","成年银龙","adult-silver-dragon","legendaryActions","wing-attack-costs-2-actions","翼击（消耗 2 动作）","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-white-dragon","成年白龙","adult-white-dragon","actions","multiattack","多重攻击","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-white-dragon","成年白龙","adult-white-dragon","actions","bite","啃咬","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-white-dragon","成年白龙","adult-white-dragon","actions","claw","爪击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-white-dragon","成年白龙","adult-white-dragon","actions","tail","尾击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-white-dragon","成年白龙","adult-white-dragon","actions","frightful-presence","骇人威仪","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-white-dragon","成年白龙","adult-white-dragon","actions","cold-breath","寒冰吐息","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-white-dragon","成年白龙","adult-white-dragon","actions","multiattack-weapons-only","多重攻击: Weapons Only","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-white-dragon","成年白龙","adult-white-dragon","legendaryActions","detect","侦测","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:adult-white-dragon","成年白龙","adult-white-dragon","legendaryActions","tail-attack","尾击攻击","weapon-attack","simple-attack","headless","headless","verified-full","",""
"srd-5.1:adult-white-dragon","成年白龙","adult-white-dragon","legendaryActions","wing-attack-costs-2-actions","翼击（消耗 2 动作）","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:air-elemental","气元素","air-elemental","actions","multiattack","多重攻击","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:air-elemental","气元素","air-elemental","actions","slam","猛击","weapon-attack","simple-attack","headless","headless","verified-full","","src/store/characterTokenPresentation.test.ts"
"srd-5.1:air-elemental","气元素","air-elemental","actions","whirlwind","旋风","other","complex","dm-adjudication","dm-adjudication","manual","原文骰池 3d8+2 未进入结构 | 原文骰池 1d6 未进入结构 | 原文包含豁免，但动作无结构化豁免 | 原文包含状态/擒抱附效，但无结构化附效","src/store/characterTokenPresentation.test.ts"
"srd-5.1:ancient-black-dragon","远古黑龙","ancient-black-dragon","actions","multiattack","多重攻击","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterComplexActionContracts.test.ts"
"srd-5.1:ancient-black-dragon","远古黑龙","ancient-black-dragon","actions","bite","啃咬","weapon-attack","simple-attack","headless","headless","verified-full","","src/store/characterTokenPresentation.test.ts"
"srd-5.1:ancient-black-dragon","远古黑龙","ancient-black-dragon","actions","claw","爪击","weapon-attack","simple-attack","headless","headless","verified-full","","src/store/characterTokenPresentation.test.ts"
"srd-5.1:ancient-black-dragon","远古黑龙","ancient-black-dragon","actions","tail","尾击","weapon-attack","simple-attack","headless","headless","verified-full","","src/store/characterTokenPresentation.test.ts"
